4,19
88,101
210,220
332,340
348,358
628,637
647,655
661,669
709,723
725,733
758,768
770,779
801,810
833,842
843,851
903,911
934,949
952,962
1053,1061
1161,1169
1187,1195
1246,1254
1257,1270
1274,1282
1320,1333
1387,1396
1397,1405
1603,1617
1647,1655
1723,1738
1751,1759
1792,1801
1806,1816
1817,1833
1834,1853
1854,1863
1864,1872
1873,1882
1887,1899
1900,1908
1909,1919
1920,1928
1929,1938
1991,2000
2010,2019
2056,2064
2065,2084
2213,2221
2226,2234
2391,2400
2599,2607
2611,2622
2628,2640
2724,2732
2738,2747
2794,2802
2895,2906
3018,3027
3039,3048
3050,3059
3108,3116
3177,3185
3192,3201
3202,3210
3216,3226
3229,3248
3251,3264
3282,3291
3293,3304
3307,3315
3344,3353
3501,3509
