flag,xl,yl,zl,xr,yr,zr,xc,yc,zc,mat_00,mat_10,mat_20,mat_30,mat_01,mat_11,mat_21,mat_31,mat_02,mat_12,mat_22,mat_32,mat_03,mat_13,mat_23,mat_33,ctw_00,ctw_10,ctw_20,ctw_30,ctw_01,ctw_11,ctw_21,ctw_31,ctw_02,ctw_12,ctw_22,ctw_32,ctw_03,ctw_13,ctw_23,ctw_33,opennessl,opennessr,ray_x,ray_y,ray_z,eye_x,eye_y,eye_z,time,frame
0,-1.550924,-6.019866,4.8598,-0.9183102,-3.835082,7.540692,-1.161242,-4.940905,6.192613,-0.1491805,0.1524284,-0.9769908,0,0.1140146,0.9841084,0.1361296,0,-0.9822149,0.09108334,0.164189,0,6.214037,1.742362,-30.0621,1,-0.1491806,0.1140146,-0.9822146,0,0.1524284,0.9841084,0.09108333,0,-0.9769905,0.1361296,0.1641888,0,-28.70895,1.669175,10.88068,1,0,0,-0.008940961,-0.09513162,0.9954245,-0.001561973,0.001321663,-0.02745783,4.08,1
0,-0.8841534,-2.757398,7.037766,-0.6436214,-0.279992,9.832292,-0.6499348,-1.529136,8.427876,-0.08381653,0.02141586,-0.9962512,0,0.09045854,0.9958047,0.01379582,0,-0.992367,0.0889631,0.08540213,0,8.244224,-2.026065,-29.5616,1,-0.08381651,0.09045855,-0.9923669,0,0.02141587,0.9958048,0.0889631,0,-0.996251,0.01379581,0.08540212,0,-28.71638,1.679631,10.88616,1,0,0,-0.007103054,-0.09915121,0.995047,-0.001561401,0.001321358,-0.02745748,4.1,2
0,-0.842001,-2.239003,7.054453,-0.6825352,-0.7383455,9.843498,-0.6460648,-1.499328,8.443353,-0.08438694,0.02138351,-0.9962036,0,0.0900232,0.9958447,0.01375008,0,-0.9923581,0.08852111,0.08596134,0,8.228415,-2.022386,-29.56631,1,-0.08438698,0.0900232,-0.9923581,0,0.02138352,0.9958447,0.08852112,0,-0.9962035,0.01375007,0.08596131,0,-28.71645,1.679773,10.88612,1,1,1,-0.008079255,-0.09806035,0.9951477,-0.001566078,0.001334564,-0.02746942,4.12,3
0,-0.628828,1.291723,8.453602,-0.628828,1.291723,8.453602,-0.628828,1.291723,8.453602,-0.0847013,0.02140088,-0.9961767,0,0.08973588,0.9958705,0.0137644,0,-0.9923576,0.08822692,0.08627188,0,8.21982,-2.018767,-29.56888,1,-0.08470122,0.08973587,-0.9923573,0,0.02140088,0.9958705,0.08822691,0,-0.9961765,0.01376438,0.08627193,0,-28.71639,1.679815,10.88607,1,1,1,0,0,1,0,0,0,4.16,4
0,-26.37882,0,10.40027,-0.629755,1.299918,8.450721,-26.44612,0.8500708,10.55153,-0.0848285,0.02112701,-0.9961717,0,0.0898306,0.9958659,0.01347106,0,-0.9923381,0.08834396,0.08637571,0,8.215779,-2.02781,-29.56947,1,-0.08482852,0.0898306,-0.9923379,0,0.02112702,0.9958659,0.08834396,0,-0.9961713,0.01347104,0.08637564,0,-28.71648,1.67973,10.88606,1,0.7035056,0.8571877,0.02076717,-0.3290824,0.9440728,0.01389961,-0.0006318894,-0.01391303,4.18,5
0,-26.43318,0,10.49524,-0.6296997,1.293769,8.446448,-26.50094,0.8500708,10.59988,-0.08496273,0.02134349,-0.9961556,0,0.08967315,0.9958771,0.01368926,0,-0.9923407,0.08816533,0.08652639,0,8.21224,-2.01968,-29.57122,1,-0.08496273,0.08967315,-0.9923407,0,0.0213435,0.9958771,0.08816533,0,-0.9961554,0.01368925,0.08652637,0,-28.71669,1.679743,10.8861,1,0,0.1890686,0.003169527,-0.3354445,0.9420547,0.01377767,-0.0005032044,-0.01370731,4.2,6
0,-0.6288815,1.284305,8.447246,-0.6288815,1.284305,8.447246,-0.6288815,1.284305,8.447246,-0.08489668,0.02170248,-0.9961534,0,0.09004635,0.9958389,0.01402147,0,-0.9923126,0.0885096,0.08649766,0,8.213275,-2.012975,-29.57171,1,-0.08489669,0.09004635,-0.9923125,0,0.02170248,0.9958389,0.08850959,0,-0.9961534,0.01402147,0.08649763,0,-28.71699,1.679662,10.88619,1,0,0.05059874,0,0,1,0,0,0,4.22,7
0,-0.6282501,1.278256,8.448839,-0.6282501,1.278256,8.448839,-0.6282501,1.278256,8.448839,-0.08481681,0.02192385,-0.9961554,0,0.09022108,0.99582,0.01423468,0,-0.9923037,0.08866688,0.08644021,0,8.215201,-2.008272,-29.57159,1,-0.08481672,0.09022108,-0.9923034,0,0.02192385,0.99582,0.08866686,0,-0.9961552,0.01423467,0.08644026,0,-28.71708,1.679635,10.88621,1,0,0.06303983,0,0,1,0,0,0,4.24,8
0,-0.6275883,1.263726,8.444063,-0.6275883,1.263726,8.444063,-0.6275883,1.263726,8.444063,-0.08492291,0.02249614,-0.9961337,0,0.09076285,0.9957633,0.01475003,0,-0.9922452,0.08915931,0.08660495,0,8.210585,-1.997122,-29.57375,1,-0.0849229,0.09076284,-0.9922449,0,0.02249615,0.9957633,0.08915929,0,-0.9961334,0.01475002,0.08660491,0,-28.7172,1.679658,10.8862,1,0,0.1525064,0,0,1,0,0,0,4.26,9
0,-25.19291,0,10.64998,-0.627943,1.260025,8.437601,-0.9537258,-5.175217,8.840134,-0.08513713,0.02266473,-0.9961115,0,0.0909761,0.9957419,0.01488065,0,-0.9922072,0.08935544,0.08683658,0,8.203759,-1.994373,-29.57596,1,-0.08513714,0.0909761,-0.9922071,0,0.02266474,0.9957419,0.08935544,0,-0.9961113,0.01488065,0.08683654,0,-28.7173,1.679644,10.88631,1,0.0864276,0.5008369,-0.03384344,-0.2224116,0.9743654,0.01364646,0.0003710251,-0.01327369,4.28,10
