flag,xl,yl,zl,xr,yr,zr,xc,yc,zc,mat_00,mat_10,mat_20,mat_30,mat_01,mat_11,mat_21,mat_31,mat_02,mat_12,mat_22,mat_32,mat_03,mat_13,mat_23,mat_33,ctw_00,ctw_10,ctw_20,ctw_30,ctw_01,ctw_11,ctw_21,ctw_31,ctw_02,ctw_12,ctw_22,ctw_32,ctw_03,ctw_13,ctw_23,ctw_33,opennessl,opennessr,ray_x,ray_y,ray_z,eye_x,eye_y,eye_z,time,frame
0,-3,2.350961,7.902767,-3,2.060048,7.51083,-3,2.203197,7.703177,0.3140301,-0.0174543,-0.9492527,0,-0.001960403,0.999817,-0.01903259,0,-0.9494111,-0.007837724,-0.3139383,0,8.172375,-1.666255,-4.486081,1,0.31403,-0.001960405,-0.949411,0,-0.0174543,0.9998169,-0.007837722,0,-0.9492526,-0.01903259,-0.3139383,0,-6.853878,1.596589,6.33753,1,0,0,-0.02149985,0.1284246,0.9914862,0.001750572,-0.004693504,-0.01808437,2.06,1
0,-3.209506,3.9,7.355484,-2.999999,3.707591,7.083821,-3,3.865519,7.2451,0.2162344,-0.3750943,-0.9014139,0,-0.007946759,0.92255,-0.3857957,0,-0.9763092,-0.09058566,-0.1965063,0,7.706933,-3.504918,-4.322874,1,0.2162344,-0.007946786,-0.976309,0,-0.3750942,0.92255,-0.09058562,0,-0.9014139,-0.3857956,-0.1965063,0,-6.877878,1.626961,6.35738,1,1,1,-0.01041789,0.1166317,0.9931206,0.001807618,-0.004426361,-0.01868669,2.08,2
0,-3.218425,3.9,7.372573,-5.163001,2.540052,6.704937,-3,3.860566,7.265969,0.2166545,-0.3730747,-0.9021509,0,-0.008451656,0.9233483,-0.3838703,0,-0.9762118,-0.09079191,-0.1968945,0,7.70995,-3.490913,-4.328757,1,0.2166546,-0.008451647,-0.9762117,0,-0.3730747,0.9233484,-0.09079191,0,-0.9021508,-0.3838703,-0.1968945,0,-6.877959,1.626809,6.357288,1,1,1,-0.01473751,0.1172382,0.9929945,0.00181671,-0.004358795,-0.01873333,2.1,3
0,-3.121729,3.9,7.379817,-5.163001,2.530244,6.711154,-3,3.819469,7.263518,0.2178804,-0.3639066,-0.9055939,0,-0.01043424,0.9269642,-0.3750046,0,-0.9759197,-0.09115534,-0.1981702,0,7.719302,-3.430915,-4.359056,1,0.2178804,-0.01043425,-0.9759197,0,-0.3639066,0.9269642,-0.09115531,0,-0.9055938,-0.3750046,-0.1981702,0,-6.877952,1.626214,6.356837,1,1,1,-0.0141548,0.119037,0.9927889,0.001822936,-0.004278992,-0.01876396,2.12,4
0,-3.005568,3.9,7.451727,-5.19247,2.466082,6.700662,-3,3.72922,7.277495,0.2183655,-0.3304623,-0.9182109,0,-0.01715629,0.9394726,-0.3421944,0,-0.9757162,-0.09047657,-0.1994789,0,7.730998,-3.222985,-4.491617,1,0.2183655,-0.01715632,-0.9757162,0,-0.3304623,0.9394726,-0.09047654,0,-0.9182109,-0.3421944,-0.1994789,0,-6.87751,1.623535,6.355673,1,1,1,-0.02003035,0.1364306,0.9904471,0.001824607,-0.004128899,-0.01869823,2.14,5
0,-3.102189,3.9,7.614325,-5.231229,2.397689,6.688539,-5.163001,2.538368,6.800907,0.215665,-0.2951037,-0.9308075,0,-0.02177335,0.9515493,-0.3067245,0,-0.9762247,-0.08641656,-0.1987904,0,7.721837,-3.022435,-4.640529,1,0.2156649,-0.02177338,-0.9762246,0,-0.2951037,0.9515492,-0.08641653,0,-0.9308073,-0.3067245,-0.1987904,0,-6.876699,1.620762,6.354566,1,1,1,-0.04364155,0.1654703,0.9852487,0.001716377,-0.004196877,-0.01777597,2.22,6
0,-3,3.883778,7.577808,-5.245885,2.378019,6.693382,-5.162322,2.515514,6.790165,0.212391,-0.2794701,-0.9363689,0,-0.02309656,0.9565277,-0.2907256,0,-0.9769118,-0.08337443,-0.1967031,0,7.705277,-2.940916,-4.717842,1,0.212391,-0.02309658,-0.9769117,0,-0.2794701,0.9565276,-0.08337439,0,-0.9363686,-0.2907256,-0.196703,0,-6.876069,1.619435,6.354165,1,1,1,-0.04216667,0.1725858,0.9840916,0.001754249,-0.003611099,-0.01875303,2.26,7
0,-3,3.873866,7.5353,-5.163076,2.511501,6.732522,-3,3.752486,7.350045,0.2107439,-0.2692858,-0.9397193,0,-0.02305156,0.9596726,-0.2801733,0,-0.9772696,-0.08070683,-0.1960377,0,7.695928,-2.891996,-4.762348,1,0.2107439,-0.02305158,-0.9772693,0,-0.2692858,0.9596726,-0.08070679,0,-0.9397191,-0.2801733,-0.1960377,0,-6.875913,1.61849,6.353991,1,1,1,-0.04558352,0.2035256,0.9780079,0.001829757,-0.003133339,-0.01889981,2.3,8
0,-3,2.72952,7.161531,-3,1.805139,7.348545,-3,2.251649,7.25769,0.2098873,-0.2600561,-0.9425063,0,-0.02153625,0.9625148,-0.2703727,0,-0.9774884,-0.07704587,-0.196419,0,7.688759,-2.855606,-4.794991,1,0.2098873,-0.02153626,-0.9774884,0,-0.2600561,0.9625149,-0.07704587,0,-0.9425063,-0.2703727,-0.196419,0,-6.8757,1.617715,6.353833,1,0.8761011,0.8835431,-0.0169882,-0.11524,0.9931924,-0.01507937,-0.001855621,-0.01019413,2.32,9
0,-3,2.689843,7.163427,-3,1.662029,7.368865,-3,2.157404,7.2693,0.2096588,-0.2517959,-0.9447973,0,-0.01957384,0.9649987,-0.2615234,0,-0.9775787,-0.07332399,-0.1973919,0,7.684442,-2.825831,-4.818769,1,0.2096588,-0.01957384,-0.9775786,0,-0.2517959,0.9649987,-0.07332399,0,-0.9447973,-0.2615234,-0.1973919,0,-6.875404,1.617116,6.353759,1,0.6923129,0.6386145,-0.01937197,-0.1290096,0.9914541,-0.01503982,-0.001872612,-0.01041329,2.34,10
